,Model,Accuracy
0,LogisticRegression,0.9798032107716209
1,DecisionTreeClassifier,0.9766960124287933
2,ExtraTreesClassifier,0.9968928016571724
3,SVC,0.9922320041429311
4,RandomForestClassifier,0.9953392024857587
5,KNeighborsClassifier,0.9911962713619886
6,BaggingClassifier,0.9813568099430346
7,AdaBoostClassifier,0.8886587260486795
8,MultinomialNB,0.9772138788192646
9,GradientBoostingClassifier,0.967892283790782
10,GaussianNB,0.9290523045054376
11,BernoulliNB,0.9932677369238736
12,ComplementNB,0.9777317452097359
